storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
737;07.04.1981;5/25/2005 ;1;47;117;1334 NO. ELLINGTON PARKWAY;Lewisburg;TN;37091;Supercenter
738;07.04.1981;;;47;5;190 HWY 641 NORTH;Camden;TN;38320;Wal-Mart
739;07.04.1981;03.01.1995;1;21;13;US HWY 441 HWY 25E;Middlesboro;KY;40965;Supercenter
740;07.04.1981;04.09.2003;1;1;45;1537 HWY 231 SOUTH;Ozark;AL;36360;Supercenter
741;07.04.1981;03.01.1998;1;47;105;911 HWY 321 NORTH;Lenoir City;TN;37771;Supercenter
742;8/31/1984 ;8/22/2001 ;1;47;163;2500 W STONE DRIVE;Kingsport;TN;37660;Supercenter
743;8/31/1984 ;4/17/2002 ;1;40;109;100 EAST I-240 SERVICE ROAD;Oklahoma City;OK;73149;Supercenter
744;10/16/1984 ;10/16/2002 ;1;48;201;6626 FM 1960 EAST;Atascocita;TX;77346;Supercenter
745;10.02.1984;03.01.1996;1;13;151;5600 N. HENRY BLVD.;Stockbridge;GA;30281;Supercenter
746;5/22/1984 ;03.01.2002;1;48;27;3401 S. 31ST STREET;Temple;TX;76502;Supercenter
747;02.05.1985;;;17;163;1511 CAMP JACKSON ROAD;Cahokia;IL;62206;Wal-Mart
748;02.05.1985;03.01.1999;1;19;99;300 EAST 31ST STREET SOUTH;Newton;IA;50208;Supercenter
749;07.02.1985;;;19;169;3015 GRAND AVE;Ames;IA;50010;Wal-Mart
750;10.02.1984;1/23/2006 ;1;19;19;302 ENTERPRISE DRIVE SW;Independence;IA;50644;Supercenter
751;10/16/1984 ;;;19;125;403 EAST OSKALOOSA;Pella;IA;50219;Wal-Mart
752;3/20/1984 ;10/27/2004 ;1;48;201;5200 FAIRMONT PKWY.;Pasadena;TX;77505;Supercenter
753;06.05.1984;10/29/2003 ;1;19;13;525 BRANDILYNN BLVD;Cedar Falls;IA;50613;Supercenter
754;04.03.1984;03.01.1996;1;13;31;730 NORTHSIDE DRIVE EAST;Statesboro;GA;30458;Supercenter
755;05.01.1984;03.01.1994;1;48;381;4610 SOUTH COULTER;Amarillo;TX;79121;Supercenter
756;4/17/1984 ;3/17/2004 ;1;13;55;13427 HWY 27;Summerville;GA;30753;Supercenter
